,Subject,pidn,age,Category,Condition,Run,Word,RT,Assoc Hit,Exemplar Specific Hit,WE.WC_ANG,WC.BC_ANG,WE_ANG,WC_ANG,BC_ANG,WE.WC_VTC,WC.BC_VTC,WE_VTC,WC_VTC,BC_VTC,Face_Uni_ANG,Place_Uni_ANG,Sel_Uni_ANG,Face_Uni_VTC,Place_Uni_VTC,Sel_Uni_VTC,ANG,VTC,HC,CADG_ant,CA3DG,CA1,Sub,CADG_post
1694,am125,783,68,face,SMF,5,KETTLE,2406.0925,0,0,0.073126441,0.009446782,0.076822559,0.003696118,-0.005750664,0.026569082,0.018096157,0.042149721,0.015580639,-0.002515518,-0.367048579,-0.502933981,-0.43499128,14.95292514,15.96130815,15.45711664,-2.570251463,14.69189909,2.368485874,-1.0801324,3.701666531,-5.109616667,19.26889521,-7.513248069
1695,am125,783,68,place,SMP,5,DOLL,1755.9298,0,0,0.014188,-0.013910265,0.026021076,0.011833076,0.025743341,0.022386537,-0.002051359,0.044272703,0.021886166,0.023937525,-3.708656208,2.884897912,-0.411879148,-0.373519957,-8.2000389,-4.286779428,8.868190506,4.456239411,16.85016049,26.08757659,2.054561702,3.377276484,7.553621968,33.26311575
1696,am125,783,68,place,SMP,5,DEER,1895.9463,0,0,0.097565012,0.010766046,0.118485249,0.020920237,0.010154191,0.175783615,-0.004623853,0.195925236,0.020141621,0.024765473,5.548795392,3.995191951,4.771993672,0.39765166,12.11774321,6.257697436,11.67298663,5.898072688,-3.112338272,-12.76969464,12.85594656,-13.18691758,-5.675139954,23.23747443
1697,am127,793,68,face,SHF,1,SOAP,2441.1882,1,1,-0.127424595,0.1435536,-0.090204484,0.03722011,-0.10633349,-0.036473885,0.023845376,-0.018162364,0.018311521,-0.005533855,-15.33260593,-31.82974733,-23.58117663,-10.61463298,-26.21486597,-18.41474947,-36.41523226,-9.521309079,5.395601738,14.1648409,6.462543864,-6.998549106,-3.527493354,-9.148607323
1698,am127,793,68,face,SHF,1,DUCK,2868.4865,1,0,0.077017818,-0.1215754,0.065861522,-0.011156296,0.110419104,0.128696057,-0.082501283,0.115974005,-0.012722051,0.069779232,-12.29904135,10.82897895,-0.735031199,5.427880391,8.124084056,6.775982224,-40.48578785,7.77245806,3.147880297,-3.115224252,9.792747939,9.622351714,17.56299134,-2.3641763
1699,am127,793,68,place,SHP,1,STAPLER,2671.1552,1,0,-0.030078594,0.085631452,0.105219919,0.135298513,0.049667061,-0.02412071,0.00463695,0.045410783,0.069531493,0.064894543,-54.49887768,-31.40323457,-42.95105613,0.685039872,-5.636022466,-2.475491297,-61.37465472,-5.475909935,14.65142146,10.66993541,21.92822819,1.330370102,11.11550576,37.53833923
1700,am127,793,68,place,SHP,1,ORANGE,1457.2379,1,0,-0.140928307,0.077028275,0.019832967,0.160761273,0.083732998,-0.220032696,-0.001649403,-0.14705822,0.072974477,0.07462388,-58.14756041,-4.543163248,-31.34536183,-34.70038778,-64.95932062,-49.8298542,1.763442059,-23.53243512,-13.45603625,-16.28468679,-31.70789493,-17.35656972,-0.660764423,-4.372497504
1701,am127,793,68,face,SHF,1,CANE,2167.1973,1,0,0.11762988,-0.036901038,0.038297717,-0.079332163,-0.042431125,-0.076582255,-0.049835899,-0.088878852,-0.012296597,0.037539301,-53.66122691,4.452442168,-24.60439237,-22.92839743,-29.91586585,-26.42213164,-44.32222523,-16.37087715,-6.231023208,-13.95473389,-17.95178959,-1.536260903,14.2866802,0.479742951
1702,am127,793,68,face,SHF,1,FLAG,3147.3586,1,1,-0.175646207,0.18006046,-0.161897015,0.013749191,-0.166311269,-0.186043317,0.063066169,-0.183301771,0.002741545,-0.060324623,52.98950128,42.65991259,47.82470694,24.41113146,57.51134106,40.96123626,16.88194353,20.76442424,11.38964912,11.14136375,41.13053551,6.208302776,-2.298046622,12.05811456
1703,am127,793,68,place,SHP,1,VIOLIN,3315.1055,1,0,0.014663538,0.022491407,0.129527314,0.114863776,0.09237237,0.176012781,-0.028381135,0.218103576,0.042090795,0.07047193,57.39042725,38.74072766,48.06557746,36.85929894,86.84219933,61.85074913,16.20716254,26.7565593,19.38730072,18.56715908,22.55325905,49.99920103,14.69582282,8.451501793
1704,am127,793,68,place,SHP,1,RAILROAD,1412.6615,1,0,-0.012875872,0.016327972,0.106616807,0.119492678,0.103164706,0.066190989,-0.041158265,0.112558611,0.046367622,0.087525887,-69.01961447,12.80661253,-28.10650097,-6.482076628,52.90207301,23.20999819,-47.21781355,10.06240944,2.070791766,14.1420705,-30.81526441,18.40477161,-11.10930955,-10.04664172
1705,am127,793,68,face,SHF,2,LION,1453.9029,1,1,-0.082785954,0.058036762,0.007196926,0.08998288,0.031946118,-0.057190088,0.020321078,0.022221787,0.079411875,0.059090797,56.62096202,15.27601129,35.94848665,18.26618471,15.41134634,16.83876553,26.57426128,8.329691238,7.747838648,11.1815575,26.08292616,-1.868596451,3.756978382,-8.289821632
1706,am127,793,68,face,SHF,2,PAIL,2310.3667,1,0,-0.225888616,-0.08702005,-0.152975281,0.072913335,0.159933386,-0.224653443,-0.014398592,-0.134503329,0.090150113,0.104548705,49.42875525,9.498173068,29.46346416,28.15481394,35.28881019,31.72181207,1.413253201,14.62366469,11.08051509,12.79358736,16.17074959,-16.03030789,-4.20972591,38.79000242
1707,am127,793,68,place,SHP,2,WOLF,3359.4333,1,0,-0.211231514,-0.14041502,-0.227015212,-0.015783698,0.124631322,-0.134787239,-0.053582898,-0.134217058,0.000570181,0.054153079,-4.575102389,20.21547533,7.820186473,2.859041795,11.22258488,7.040813338,-1.604275611,-1.842706264,5.377306826,2.564526818,-4.23237703,26.94737286,-1.24312089,20.3101757
1708,am127,793,68,place,SHP,2,OMELET,2127.2063,1,0,0.125280203,0.158666762,0.266423641,0.141143439,-0.017523323,0.082004099,0.008022097,0.102171481,0.020167382,0.012145285,14.14088131,-10.09318364,2.023848839,26.23096346,19.71833477,22.97464911,-7.940252881,2.445545959,-7.505937634,-1.480143907,-11.15209158,-13.83070771,-8.252186211,-23.16568366
1709,am127,793,68,face,SHF,2,MANURE,2176.1819,1,1,-0.061140737,-0.112894816,-0.133284682,-0.072143944,0.040750872,-0.044734892,-0.068263828,-0.06171788,-0.016982988,0.05128084,23.39714723,26.11117424,24.75416074,5.930370662,12.99729896,9.463834811,0.807150522,3.293476591,28.25211298,37.71155531,24.38266655,11.65926231,6.063958093,36.48256665
1710,am127,793,68,place,SHP,3,STAR,3220.1758,1,0,0.054827694,-0.044767493,0.106629312,0.051801618,0.096569111,-0.029523496,0.007051749,0.013666873,0.043190369,0.03613862,-71.73342738,25.90365988,-22.91488375,-5.848174026,11.52861569,2.840220832,-2.748325322,9.208555735,2.87281221,-2.458730226,19.52713783,-9.40545059,12.99034363,3.432198086
1711,am127,793,68,face,SHF,3,BRAIN,1297.2898,1,1,0.089813632,0.074571972,0.018406151,-0.071407481,-0.145979454,-0.11167687,0.045397751,-0.087057277,0.024619593,-0.020778158,69.2432584,56.18862875,62.71594358,-17.78122745,15.51321872,-1.134004365,35.47735528,9.059741926,14.53137112,12.81988917,4.831744981,-1.357934929,16.60137479,35.28194609
1712,am127,793,68,place,SHP,3,PENNY,1958.6831,1,0,0.115107643,0.042709514,0.1593598,0.044252157,0.001542643,0.037991175,-0.0022397,0.020475398,-0.017515778,-0.015276078,-108.2445243,-9.284228477,-58.76437638,7.105313434,-18.42889047,-5.661788518,-11.45248773,4.638174159,-28.18871248,-36.86224477,-31.83380945,-52.0626251,6.791408292,-27.70353559
1713,am127,793,68,place,SHP,3,CAPE,3029.1654,1,0,-0.098579231,-0.019663123,-0.078270257,0.020308974,0.039972097,-0.038535027,-0.052866283,-0.028903776,0.00963125,0.062497533,-55.42585769,-2.433060236,-28.92945896,22.97130048,11.57668979,17.27399513,-45.00089463,6.012519049,15.81747383,17.62606833,-12.06138982,30.78266865,20.0533903,15.37006525
1714,am127,793,68,face,SHF,3,CANOE,2231.8819,1,0,-0.006149215,0.038658315,0.033223343,0.039372558,0.000714243,-0.023083619,0.032994411,-0.028314452,-0.005230833,-0.038225244,13.60195842,38.56682228,26.08439035,14.78172269,19.48139816,17.13156043,-3.133878576,6.463302764,17.55041752,20.17204846,29.1448596,1.920163533,0.709157436,32.01057974
1715,am127,793,68,place,SHP,4,MONKEY,2266.9303,1,0,-0.04520377,0.114660402,0.125491709,0.170695479,0.056035077,-0.074899132,0.034304116,0.006360547,0.081259679,0.046955564,-72.70546236,12.30138709,-30.20203764,-3.653492088,23.39647812,9.871493015,-24.83963932,-0.849762825,19.7112716,19.28683723,39.68689818,-9.051631161,7.051298076,41.3524944
1716,am127,793,68,place,SHP,5,LIME,2124.4757,1,0,0.037855476,-0.191692215,-0.060023472,-0.097878948,0.093813267,-0.076762514,-0.104692202,-0.121385847,-0.044623334,0.060068868,0.823240585,26.57529791,13.69926925,-11.67438348,34.16320929,11.24441291,-15.32114087,-0.713100334,22.65387058,25.48394255,9.620287296,18.16171542,24.21154918,22.26479651
